name,latitude_deg,longitude_deg
Ocean Reef Club Airport,25.325399,-80.274803
Aleknagik / New Airport,59.2826004028,-158.617996216
baccaratshh,35,35
Sas Al Nakheel Air Base,24.44128,54.51696
Burton-Nibbs International Airport,17.621194,-61.798347
Honiara International Airport,-9.428,160.054993
Munda Airport,-8.32797,157.263
Nauru International Airport,-0.547893,166.919525
Grandfather Skiway,-77.530242,-31.827393
Boulder Clay Runway,-74.739373,164.03539
Aeroestación Yabotí,-27.180308,-54.107368
(Duplicate)Aeropuerto Pergamino,-33.89603,-60.5748
Concordia Skyway,-75.103278,123.35825
Vostok Skiway,-78.466139,106.84825
(Duplicate)Wolf's Fang Runway,-71.5264,8.799459
Nackeroo Airfield,-15.578026,130.475993
Alxa Left Banner Bayanhot Airport,38.748317,105.58416
Baimuru Airport,-7.496955,144.821756
Buka Airport,-5.422299,154.672698
Balimo Airport,-8.05000019073,142.932998657
Chimbu Airport,-6.024290084838867,144.9709930419922
Daru Airport,-9.08676,143.207993
Goroka Airport,-6.081689834590001,145.391998291
Gurney Airport,-10.3114995956,150.333999634
Girua Airport,-8.80453968048,148.309005737
Hoskins Airport,-5.463846,150.407327
Kerema Airport,-7.96361017227,145.770996094
Kavieng Airport,-2.57940006256,150.807998657
Madang Airport,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,-5.828212,144.299412
Mendi Airport,-6.14774,143.656998
Momote Airport,-2.06189,147.423996
Nadzab Tomodachi International Airport,-6.567995,146.726544
Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312
Tokua Airport,-4.34046,152.380005
Vanimo Airport,-2.6926,141.3028
Wapenamanda Airport,-5.635293,143.892231
Wewak International Airport,-3.58383011818,143.669006348
Zabrat Airport,40.494884,49.977065
Sitalchay Airbase,40.807313,49.431481
Qizilagach Air Base,39.006162,48.806312
Benguera Island Airport,-21.8533,35.438301
Bezmer Air Base,42.454899,26.3522
Aasiaat Airport,68.721802,-52.784698
Narsarsuaq International Airport,61.1605,-45.425999
Neerlerit Inaat Airport,70.743103,-22.650499
Nuuk International Airport,64.191066,-51.67914
Ilulissat Airport,69.243202,-51.057098
Kulusuk Airport,65.573601,-37.1236
Qaanaaq Airport,77.488602,-69.388702
Kangerlussuaq International Airport,67.010446,-50.715294
Sisimiut Airport,66.951302,-53.729301
Pituffik Space Base,76.53063,-68.700541
Akureyri International Airport,65.656573,-18.072018
Egilsstaðir Airport,65.2833023071289,-14.401399612426758
Grímsey Airport,66.5458,-18.0173
Hornafjörður Airport,64.295601,-15.2272
Húsavík Airport,65.952301,-17.426001
Ísafjörður Airport,66.058098,-23.1353
Keflavik International Airport,63.985001,-22.6056
Rif Airport,64.9114,-23.823099
Reykjavík Domestic Airport,64.128732,-21.93759
Siglufjörður Airport,66.137847,-18.908157
Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375
Tourou International Airport,9.391186,2.507311
Priština Adem Jashari International Airport,42.5728,21.035801
Glauber de Andrade Rocha Airport,-14.907885,-40.914804
Russas - João de Deus Regional Airport,-4.94727,-38.008202
Betong International Airport,5.79,101.15
Orsha Airport - Balbasovo Air Base,54.439999,30.2967
Osovtsy Air Base,52.556999,24.884001
Caye Caulker Airport,17.735015,-88.032862
Caye Chapel Airport,17.683792,-88.044985
Corozal Airport,18.3822,-88.411903
Dangriga Airport,16.98251,-88.230988
Sartaneja Airport,18.3561,-88.130798
John Greif II Airport,17.9139,-87.9711
Sir Barry Bowen Municipal Airport,17.517239,-88.195775
Bazaruto Island Airport,-21.5411,35.4729
Anahim Lake Airport,52.451501,-125.303776
Qualicum Beach Airport,49.337456,-124.393086
Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314
Bella Bella (Campbell Island) Airport,52.185001,-128.156994
Laohutun Air Base,39.669998,121.765999
Pulandian Air Base,39.450901,122.017998
Beijing Shahezhen Air Base,40.149166107177734,116.3213882446289
Beijing Tongxian Air Base,39.81111145019531,116.70833587646484
Fengning Air Base,41.260799407958984,116.61799621582031
Hohhot Bikeqi Air Base,40.737015,111.229749
Huairen Air Base,39.717499,113.142998
Liangxiangzhen Air Base,39.757801,116.125999
Tangguantun Air Base,38.781101,117.068001
Wenshui Air Base,37.407799,111.966003
Yangcun Air Base,39.37329864501953,117.09500122070312
Yongning Air Base,40.50310134887695,116.10800170898438
Tangshan Zunhua Air Base,40.102501,117.887001
Chengdu Huangtianba Air Base,30.705299,103.949997
Chongqing Baishiyi Air Base,29.4953,106.359001
Luliang Air Base,24.988192,103.642833
Honghe Mengzi Airport / Mengzi Air Base,23.3953,103.334
Qionglai Air Base,30.49099,103.466139
Wenshan Air Base,23.715599060058594,103.8270034790039
Xiangyun Midu Air Base,25.445299,100.735001
Baihe Ningming Air Base,22.120481,107.125046
Changsha Datuopu Airport / Changsha Air Base,28.068522,112.957306
Dangyang Air Base,30.798599,111.809998
Foluo Northeast Air Base,18.6922,109.161003
Bazhong Enyang Airport,31.73842,106.644872
Guiping Mengxu Air Base,23.330799,110.009003
Jialaishi Air Base,19.697201,109.725998
Leiyang Air Base,26.587200164794922,112.89199829101562
Lingshui Air Base,18.4944,109.987999
Shangqiu Air Base,34.449507,115.459261
Zhengzhou Air Base,34.86125,113.729631
Shaoguan Danxia Airport,24.9786,113.420998
Suixi Air Base,21.3958,110.199997
Jinggangshan Airport,26.856899,114.737
Guodu Air Base,36.000428,117.625833
Xiaogan Air Base,30.95359,113.911774
Cangxian Air Base,38.403025,116.930924
Jiaozhou Jiaocheng Air Base,36.331163,120.025538
Jiugucheng Air Base,37.491153,116.116726
Kaifeng Air Base,34.75389862060547,114.33899688720703
Laiyang Air Base,36.9636,120.591003
Luyang Air Base,33.685434,112.89053
Xuzhou Daguozhang Air Base,34.229285,117.245665
Zhucheng Air Base,36.027468,119.43778
Baoji Air Base,34.53125,107.470679
Gonghe Air Base,36.3367,100.480003
Huangdicun Naval Air Base,40.49979,120.659295
Lanzhou Air Base,35.917801,104.218002
Lintao Air Base,35.3083,103.835999
Qingshui Air Base,39.554699,98.884201
Ürümqi South Air Base,43.466593,87.531177
Uxxaktal Air Base,42.1814,87.188103
Wugong Air Base,34.275907,108.2658
Ürümqi Changji Air Base,43.951175,87.079232
Wuwei Air Base,37.9883,102.567001
Xi'an Air Base,34.153059,108.599739
Xincheng Air Base,25.5483,114.619003
Yaerbashi Test Range,43.077202,92.808098
Yanliang Air Base,34.642248,109.241867
Daishan Air Base,30.287581,122.144401
Feidong Air Base,31.909401,117.658997
Fuzhou Air Base,26.003857,119.312832
Huian Air Base,25.0261,118.806999
Hangzhou Jianqiao Airport,30.3353,120.240997
Jiaxing Airport / Jiaxing Air Base,30.705535,120.679779
Longtian Air Base,25.5728,119.459999
Nanchang Xiangtang Air Base,28.421205,115.923375
Ningbo Zhuangqiao Air Base,29.9228,121.573997
